"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Varus","ADC",80,"36.7%","38.1%","75.2%","54%","23%",295,155,337,4.1,"68.2%","17.0%","16%",181,161,5.8,9.2,"28.8%",636,"27.8%","25.6%",0.39,0.3
"Varus","Support",1,"0.5%","38.1%","75.2%","100%","100%",2,4,8,2.5,"55.6%","44.4%","0%",1205,135,3,1.4,"7.9%",557,"20.1%","14.1%",0,0.37
"Veigar","Middle",16,"7.3%","3.7%","11.0%","50%","44%",49,21,63,5.3,"62.6%","13.5%","13%",86,61,3.3,9.2,"26.5%",517,"26.6%","24.1%",0.38,0.24
"Vi","Jungle",78,"35.8%","20.2%","56.0%","49%","63%",143,204,401,2.7,"67.5%","23.9%","29%",-44,23,0,5.4,"14.8%",215,"10.6%","17.2%",0.3,0.49
"Viego","Jungle",19,"8.7%","2.3%","11.0%","58%","84%",55,32,86,4.4,"64.1%","19.6%","26%",101,255,5.7,6.1,"16.9%",285,"14.1%","19.2%",0.37,0.49
"Viktor","Middle",33,"15.1%","6.4%","21.6%","33%","58%",51,75,117,2.2,"63.2%","19.6%","15%",-115,83,0.6,8.8,"25.4%",705,"33.6%","23.1%",0.3,0.19
"Wukong","Jungle",94,"43.1%","21.1%","64.2%","49%","57%",251,229,436,3,"68.1%","22.5%","31%",-24,-61,-1.1,5.4,"14.7%",293,"14.7%","17.8%",0.27,0.5
"Xayah","ADC",20,"9.2%","3.2%","12.4%","40%","90%",52,47,74,2.7,"70.4%","19.7%","45%",-249,-89,-6.9,10,"32.4%",536,"29.1%","26.0%",0.4,0.36
"Xin Zhao","Jungle",2,"0.9%","0.0%","0.9%","50%","100%",2,5,18,4,"69.0%","21.7%","100%",128,406,7.5,5.6,"14.7%",416,"18.1%","16.6%",0.4,0.39
"Yasuo","Top",2,"0.9%","0.5%","1.4%","50%","100%",7,5,4,2.2,"40.7%","16.7%","0%",626,305,25.5,10.6,"30.6%",413,"19.3%","25.4%",0,0.14
"Yone","Middle",16,"7.3%","7.8%","16.1%","63%","88%",57,28,50,3.8,"56.6%","19.3%","25%",110,174,2.9,9.5,"27.9%",472,"22.3%","24.3%",0.24,0.25
"Yone","Top",2,"0.9%","7.8%","16.1%","0%","100%",1,4,0,0.3,"16.7%","14.8%","0%",299,21,12.5,9.7,"29.4%",463,"24.6%","24.5%",0.39,0.15
"Yuumi","Support",24,"11.0%","20.6%","31.7%","42%","42%",12,32,187,6.2,"85.4%","12.2%","25%",-55,128,-1.5,0.2,"0.8%",225,"11.3%","8.4%",1.51,0.14
"Zac","Jungle",1,"0.5%","0.0%","0.5%","100%","100%",0,1,4,4,"33.3%","50.0%","0%",12,-291,-7,5.5,"14.1%",116,"5.3%","13.7%",0.33,0.52
"Zeri","ADC",108,"49.5%","10.1%","59.6%","44%","39%",354,211,366,3.4,"69.1%","18.4%","20%",-118,-96,-2.9,10.3,"34.5%",511,"27.0%","27.9%",0.35,0.55
"Ziggs","ADC",4,"1.8%","0.9%","2.8%","50%","75%",8,10,26,3.4,"69.4%","17.5%","0%",-328,-167,-13.3,9.3,"29.9%",712,"30.1%","23.9%",0.3,0.29
"Zoe","Middle",1,"0.5%","0.5%","0.9%","0%","0%",2,3,5,2.3,"58.3%","13.6%","100%",498,-135,0,7.4,"24.8%",707,"30.9%","22.5%",0,0.17
