"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Vi","Jungle",44,"21.5%","66.3%","87.8%","55%","30%",120,117,259,3.2,"68.2%","24.0%","32%",44,4,0,6,"16.0%",282,"13.7%","18.3%",0.39,0.43
"Viego","Jungle",55,"26.8%","27.8%","54.6%","49%","51%",168,121,276,3.7,"67.4%","20.2%","29%",31,71,2.4,6,"16.2%",297,"14.3%","19.3%",0.4,0.46
"Volibear","Jungle",6,"2.9%","3.9%","7.3%","67%","83%",11,12,31,3.5,"76.4%","19.4%","67%",3,-49,1.2,5.4,"13.9%",271,"14.6%","17.3%",0.4,0.44
"Volibear","Top",1,"0.5%","3.9%","7.3%","0%","100%",0,3,2,0.7,"50.0%","27.3%","0%",-197,-259,-2,9,"27.2%",726,"49.5%","22.5%",0.32,0.25
"Wukong","Jungle",27,"13.2%","12.2%","25.4%","30%","78%",78,82,112,2.3,"70.4%","23.0%","41%",-14,-46,-3.3,5.5,"15.0%",268,"14.1%","19.0%",0.45,0.47
"Xayah","ADC",63,"30.7%","17.1%","47.8%","52%","73%",214,139,283,3.6,"67.1%","19.7%","19%",-14,37,0,10.3,"33.2%",531,"26.4%","26.6%",0.45,0.42
"Xerath","Middle",4,"2.0%","0.0%","2.0%","25%","100%",8,8,15,2.9,"71.9%","18.6%","0%",-24,91,-1,8.5,"22.1%",703,"35.0%","21.6%",0.48,0.05
"Xin Zhao","Jungle",1,"0.5%","0.0%","0.5%","0%","100%",1,4,2,0.8,"75.0%","23.5%","100%",248,-184,-8,6.1,"19.0%",395,"19.8%","20.7%",0.35,0.13
"Yasuo","Middle",1,"0.5%","0.0%","0.5%","0%","100%",0,4,0,0,"-","23.5%","0%",-765,-18,-8,8.5,"23.8%",204,"15.5%","22.9%",0.36,0.18
"Yone","Middle",16,"7.8%","11.7%","19.5%","75%","88%",64,31,80,4.6,"61.8%","17.3%","19%",207,38,4.9,9.8,"28.1%",549,"23.4%","24.5%",0.4,0.26
"Yuumi","Support",36,"17.6%","17.1%","34.6%","44%","64%",15,39,237,6.5,"81.6%","12.1%","19%",-59,265,-5.9,0.3,"0.5%",261,"12.8%","8.7%",1.36,0.1
"Zac","Jungle",1,"0.5%","0.0%","0.5%","100%","100%",5,1,15,20,"80.0%","20.0%","100%",376,213,-8,5.2,"11.4%",473,"15.6%","18.8%",0.32,0.32
"Zeri","ADC",46,"22.4%","13.7%","36.1%","52%","39%",237,85,158,4.6,"79.8%","17.8%","24%",-19,7,0.6,10.7,"35.5%",617,"30.4%","30.0%",0.55,0.62
"Ziggs","ADC",2,"1.0%","0.5%","1.5%","50%","100%",4,4,6,2.5,"52.6%","12.1%","50%",233,258,11,10,"30.9%",828,"45.1%","25.6%",0.44,0.17
"Zilean","-",0,"0%","0.5%","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
