"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Gwen","Top",32,"9.7%","10.6%","20.4%","41%","91%",64,96,118,1.9,"51.0%","22.8%","-","-","-","-",8.7,"-",588,"27.3%","23.3%",0.35,0.21
"Karma","Support",27,"8.2%","4.3%","12.5%","30%","89%",16,67,167,2.7,"72.6%","19.3%","-","-","-","-",0.8,"-",235,"11.0%","9.8%",1.49,0.47
"Jayce","Top",26,"7.9%","35.0%","59.3%","27%","46%",64,98,123,1.9,"60.1%","24.1%","-","-","-","-",8.3,"-",709,"29.3%","24.5%",0.44,0.19
"Renata Glasc","Support",26,"7.9%","4.9%","12.8%","69%","73%",20,63,257,4.4,"78.2%","20.9%","-","-","-","-",1,"-",147,"6.5%","10.1%",1.75,0.39
"Draven","ADC",25,"7.6%","13.1%","20.7%","36%","56%",103,70,91,2.8,"62.0%","17.9%","-","-","-","-",9,"-",492,"23.8%","29.2%",0.21,0.31
"LeBlanc","Middle",25,"7.6%","20.1%","27.7%","52%","52%",107,40,127,5.9,"67.0%","11.9%","-","-","-","-",8,"-",669,"28.6%","23.4%",0.44,0.36
"Leona","Support",25,"7.6%","4.6%","12.2%","56%","76%",16,104,229,2.4,"65.2%","30.5%","-","-","-","-",1.1,"-",109,"5.0%","9.1%",1.38,0.43
"Viego","Jungle",25,"7.6%","3.3%","10.9%","44%","52%",83,76,120,2.7,"67.4%","21.1%","-","-","-","-",5.9,"-",282,"14.0%","19.8%",0.3,0.53
"Annie","Middle",24,"7.3%","14.9%","34.0%","50%","29%",62,58,165,3.9,"75.2%","19.7%","-","-","-","-",7.2,"-",555,"26.5%","21.8%",0.28,0.21
"Camille","Top",24,"7.3%","4.9%","12.2%","54%","71%",79,72,105,2.6,"53.2%","22.0%","-","-","-","-",8.1,"-",475,"20.1%","23.5%",0.33,0.18
"Taliyah","Middle",23,"7.0%","5.8%","12.8%","65%","65%",70,58,151,3.8,"68.2%","20.2%","-","-","-","-",8.3,"-",570,"25.0%","22.1%",0.29,0.19
"Tristana","Middle",23,"7.0%","8.8%","16.1%","61%","35%",85,47,101,4,"68.9%","18.5%","-","-","-","-",9.2,"-",554,"25.6%","26.7%",0.39,0.32
"Kassadin","Middle",21,"6.4%","27.1%","33.4%","57%","67%",102,44,110,4.8,"70.9%","15.3%","-","-","-","-",8.7,"-",593,"26.0%","25.1%",0.32,0.26
"Viktor","Middle",21,"6.4%","1.2%","7.9%","48%","67%",51,47,115,3.5,"66.1%","17.8%","-","-","-","-",8.4,"-",672,"29.9%","22.9%",0.42,0.18
"Gragas","Top",20,"6.1%","10.3%","26.1%","65%","65%",32,30,109,4.7,"55.7%","14.9%","-","-","-","-",7.9,"-",529,"23.8%","21.1%",0.29,0.15
"Galio","Middle",19,"5.8%","10.6%","16.4%","58%","79%",40,43,146,4.3,"68.1%","19.2%","-","-","-","-",7.2,"-",392,"18.8%","18.9%",0.31,0.18
"Lux","Support",19,"5.8%","0.6%","6.4%","58%","63%",22,57,153,3.1,"73.5%","26.8%","-","-","-","-",0.8,"-",288,"12.9%","10.1%",1.13,0.37
"Gragas","Middle",17,"5.2%","10.3%","26.1%","47%","59%",30,46,114,3.1,"62.9%","18.5%","-","-","-","-",7.7,"-",441,"20.9%","19.6%",0.25,0.27
"Thresh","Support",16,"4.9%","4.0%","8.8%","44%","50%",12,51,136,2.9,"72.2%","23.6%","-","-","-","-",1.3,"-",146,"6.9%","9.8%",1.4,0.33
"Gragas","Jungle",15,"4.6%","10.3%","26.1%","33%","67%",39,58,82,2.1,"63.0%","23.8%","-","-","-","-",5.3,"-",466,"19.0%","17.3%",0.45,0.3
"Kai'Sa","ADC",15,"4.6%","2.1%","6.7%","53%","87%",62,35,63,3.6,"69.8%","18.1%","-","-","-","-",9.4,"-",520,"24.9%","27.3%",0.39,0.3
"Jinx","ADC",13,"4.0%","0.0%","4.0%","38%","77%",41,29,53,3.2,"71.2%","16.7%","-","-","-","-",9.4,"-",638,"32.5%","27.2%",0.42,0.38
"Poppy","Jungle",13,"4.0%","3.6%","7.6%","38%","100%",15,44,75,2,"60.8%","25.3%","-","-","-","-",4.4,"-",194,"8.9%","14.3%",0.39,0.51
"Xin Zhao","Jungle",13,"4.0%","0.9%","4.9%","23%","85%",20,50,62,1.6,"63.1%","23.8%","-","-","-","-",5.4,"-",324,"17.1%","18.0%",0.29,0.34
"Cassiopeia","Middle",12,"3.6%","6.1%","9.7%","50%","83%",34,20,60,4.7,"59.9%","15.3%","-","-","-","-",8.8,"-",482,"22.8%","23.6%",0.31,0.21
"Ziggs","ADC",11,"3.3%","2.7%","6.1%","55%","82%",31,23,73,4.5,"68.4%","15.1%","-","-","-","-",8.7,"-",822,"33.1%","24.0%",0.26,0.25
"Blitzcrank","Support",10,"3.0%","2.4%","5.5%","80%","100%",10,37,109,3.2,"58.9%","28.7%","-","-","-","-",1.1,"-",177,"7.1%","9.2%",1.67,0.31
